PLL_OUTPUT MHz, HSE, PLLM, PLLN, PLLP, DMA_BEATS, actual color clock MHz, error
143.20, 16000000, 10, 179, 2, 11, 3.254545, -0.090794
143.20, 16000000, 20, 358, 2, 11, 3.254545, -0.090794
143.24, 16000000, 21, 376, 2, 11, 3.255411, -0.090552
143.27, 16000000, 11, 197, 2, 11, 3.256198, -0.090332
143.27, 16000000, 22, 394, 2, 11, 3.256198, -0.090332
143.30, 16000000, 23, 412, 2, 11, 3.256917, -0.090131
143.33, 16000000, 12, 215, 2, 11, 3.257576, -0.089947
143.33, 16000000, 24, 430, 2, 11, 3.257576, -0.089947
143.38, 16000000, 13, 233, 2, 11, 3.258741, -0.089621
143.43, 16000000, 14, 251, 2, 11, 3.259740, -0.089342
143.47, 16000000, 15, 269, 2, 11, 3.260606, -0.089100
143.50, 16000000, 16, 287, 2, 11, 3.261364, -0.088889
143.53, 16000000, 17, 305, 2, 11, 3.262032, -0.088702
143.56, 16000000, 18, 323, 2, 11, 3.262626, -0.088536
143.58, 16000000, 19, 341, 2, 11, 3.263158, -0.088388
143.60, 16000000, 20, 359, 2, 11, 3.263636, -0.088254
143.62, 16000000, 21, 377, 2, 11, 3.264069, -0.088133
143.64, 16000000, 22, 395, 2, 11, 3.264463, -0.088023
143.65, 16000000, 23, 413, 2, 11, 3.264822, -0.087923
143.67, 16000000, 24, 431, 2, 11, 3.265152, -0.087831
144.00, 16000000, 3, 54, 2, 11, 3.272727, -0.085714
144.00, 16000000, 4, 72, 2, 11, 3.272727, -0.085714
144.00, 16000000, 5, 90, 2, 11, 3.272727, -0.085714
144.00, 16000000, 6, 108, 2, 11, 3.272727, -0.085714
144.00, 16000000, 7, 126, 2, 11, 3.272727, -0.085714
144.00, 16000000, 8, 144, 2, 11, 3.272727, -0.085714
144.00, 16000000, 9, 162, 2, 11, 3.272727, -0.085714
144.00, 16000000, 10, 180, 2, 11, 3.272727, -0.085714
144.00, 16000000, 11, 198, 2, 11, 3.272727, -0.085714
144.00, 16000000, 12, 216, 2, 11, 3.272727, -0.085714
144.00, 16000000, 13, 234, 2, 11, 3.272727, -0.085714
144.00, 16000000, 14, 252, 2, 11, 3.272727, -0.085714
144.00, 16000000, 15, 270, 2, 11, 3.272727, -0.085714
144.00, 16000000, 16, 288, 2, 11, 3.272727, -0.085714
144.00, 16000000, 17, 306, 2, 11, 3.272727, -0.085714
144.00, 16000000, 18, 324, 2, 11, 3.272727, -0.085714
144.00, 16000000, 19, 342, 2, 11, 3.272727, -0.085714
144.00, 16000000, 20, 360, 2, 11, 3.272727, -0.085714
144.00, 16000000, 21, 378, 2, 11, 3.272727, -0.085714
144.00, 16000000, 22, 396, 2, 11, 3.272727, -0.085714
144.00, 16000000, 23, 414, 2, 11, 3.272727, -0.085714
144.35, 16000000, 23, 415, 2, 11, 3.280632, -0.083506
144.36, 16000000, 22, 397, 2, 11, 3.280992, -0.083405
157.50, 16000000, 16, 315, 2, 12, 3.281250, -0.083333
144.38, 16000000, 21, 379, 2, 11, 3.281385, -0.083295
144.40, 16000000, 20, 361, 2, 11, 3.281818, -0.083174
157.54, 16000000, 13, 256, 2, 12, 3.282051, -0.083109
144.42, 16000000, 19, 343, 2, 11, 3.282297, -0.083041
144.44, 16000000, 18, 325, 2, 11, 3.282828, -0.082892
157.60, 16000000, 10, 197, 2, 12, 3.283333, -0.082751
157.60, 16000000, 20, 394, 2, 12, 3.283333, -0.082751
144.47, 16000000, 17, 307, 2, 11, 3.283422, -0.082726
144.50, 16000000, 16, 289, 2, 11, 3.284091, -0.082540
157.65, 16000000, 17, 335, 2, 12, 3.284314, -0.082477
144.53, 16000000, 15, 271, 2, 11, 3.284848, -0.082328
157.71, 16000000, 21, 414, 2, 12, 3.285714, -0.082086
157.71, 16000000, 7, 138, 2, 12, 3.285714, -0.082086
157.71, 16000000, 14, 276, 2, 12, 3.285714, -0.082086
144.57, 16000000, 14, 253, 2, 11, 3.285714, -0.082086
144.62, 16000000, 13, 235, 2, 11, 3.286713, -0.081807
157.78, 16000000, 18, 355, 2, 12, 3.287037, -0.081717
157.82, 16000000, 11, 217, 2, 12, 3.287879, -0.081481
144.67, 16000000, 12, 217, 2, 11, 3.287879, -0.081481
144.70, 16000000, 23, 416, 2, 11, 3.288538, -0.081297
157.87, 16000000, 15, 296, 2, 12, 3.288889, -0.081199
144.73, 16000000, 11, 199, 2, 11, 3.289256, -0.081097
144.73, 16000000, 22, 398, 2, 11, 3.289256, -0.081097
157.89, 16000000, 19, 375, 2, 12, 3.289474, -0.081036
144.76, 16000000, 21, 380, 2, 11, 3.290043, -0.080877
144.80, 16000000, 10, 181, 2, 11, 3.290909, -0.080635
144.80, 16000000, 20, 362, 2, 11, 3.290909, -0.080635
158.00, 16000000, 4, 79, 2, 12, 3.291667, -0.080423
158.00, 16000000, 8, 158, 2, 12, 3.291667, -0.080423
158.00, 16000000, 12, 237, 2, 12, 3.291667, -0.080423
158.00, 16000000, 16, 316, 2, 12, 3.291667, -0.080423
158.00, 16000000, 20, 395, 2, 12, 3.291667, -0.080423
144.84, 16000000, 19, 344, 2, 11, 3.291866, -0.080367
144.89, 16000000, 9, 163, 2, 11, 3.292929, -0.080070
144.89, 16000000, 18, 326, 2, 11, 3.292929, -0.080070
158.10, 16000000, 21, 415, 2, 12, 3.293651, -0.079869
144.94, 16000000, 17, 308, 2, 11, 3.294118, -0.079738
158.12, 16000000, 17, 336, 2, 12, 3.294118, -0.079738
158.15, 16000000, 13, 257, 2, 12, 3.294872, -0.079528
145.00, 16000000, 8, 145, 2, 11, 3.295455, -0.079365
145.00, 16000000, 16, 290, 2, 11, 3.295455, -0.079365
158.22, 16000000, 9, 178, 2, 12, 3.296296, -0.079130
158.22, 16000000, 18, 356, 2, 12, 3.296296, -0.079130
145.04, 16000000, 23, 417, 2, 11, 3.296443, -0.079089
145.07, 16000000, 15, 272, 2, 11, 3.296970, -0.078942
145.09, 16000000, 22, 399, 2, 11, 3.297521, -0.078788
158.29, 16000000, 14, 277, 2, 12, 3.297619, -0.078760
158.32, 16000000, 19, 376, 2, 12, 3.298246, -0.078585
145.14, 16000000, 21, 381, 2, 11, 3.298701, -0.078458
